Apple Sparkling Juice Beverage,3.97
All Natural 100% Apple Juice,4.11
Organic Pasteurized Apple Juice,4.20
Peach Mango Juice,2.98
Pineapple Orange Juice,2.77
Organic Orange Juice Concentrate,6.99
Organic Orange Turmeric Juice,5.73
Original Pork Sausage,7.23
Smoked Polish Sausage,6.39
Smoked Turkey Rope Sausage,11.57
Organic Breakfast Blend Black Tea,4.42
Organic Earl Grey Black Tea,5.50
Sencha Shot Japanese Green Tea,2.98
2% Milkfat Reduced Fat Milk,3.56
Vanilla Bean Almond Milk,5.36
Chocolate Sandwich Cookies,6.99
